# gen 1 pokemon (i.e. pokemon red) chart
# 10 is normal, 20 is super, 05 is half, 00 is not effective

-   NO  FR  WT  EL  GR  IC  FG  PO  GN  FL  PS  BG  RO  GH  DR

NO  10  10  10  10  10  10  10  10  10  10  10  10  05  00  10

FR  10  05  05  10  20  20  10  10  10  10  10  20  05  10  05

WT  10  20  05  00  05  10  10  10  20  10  10  10  20  10  05

EL  10  10  20  05  05  10  10  10  00  20  10  10  10  10  05

GR  10  05  20  10  05  10  10  05  20  05  10  05  20  10  05

IC  10  10  05  10  20  05  10  10  20  20  10  10  10  10  20

FG  20  10  10  10  10  20  10  05  10  05  05  05  20  00  10

PO  10  10  10  10  20  10  10  05  05  10  10  20  05  05  10

GN  10  20  10  20  05  10  10  20  10  00  10  05  20  10  10

FL  10  10  10  05  20  10  20  10  10  10  10  20  05  10  10

PS  10  10  10  10  10  10  20  20  10  10  05  10  10  10  10

BG  10  05  10  10  20  10  05  20  10  05  20  10  10  05  10

RO  10  20  10  10  10  20  05  10  05  20  10  20  10  10  10

GH  00  10  10  10  10  10  10  10  10  10  00  10  10  20  10

DR  10  10  10  10  10  10  10  10  10  10  10  10  10  10  20

